abase v.降低，羞辱
abash v.使难堪
abate v.减弱，减少
abbreviate v.减短，缩写
abdicate v.放弃
abduction n.绑架
aberrant n.不正常的
abet v.帮助，鼓励
abeyance n.悬而未决
abhor v.憎恨
abject a.穷困潦倒，卑微
abjure v.发誓放弃
ablution n.洗
abnegation n.批判，自我牺牲
abolish v.废除
abominable a.可恶的，非常糟糕
aboriginal a.&n.原来的，土著的
abortive a.不成功的，失败
abrade v.磨损，侵蚀
abrasive a.摩擦的，粗糙的，研磨剂
abridge v.删节，节选
abrogate a.废除
abscond v.隐匿，逃避，躲债
absolute a.完全的，肯定的
absolve v.谅解
absorb v.吸收，合并
abstain v.控制，限制（自己）
abstemious a.节制（饮食），调节
abstinence n.节制（饮食）
abstract a.抽象的
abstruse a.难以理解的，复杂的
abundant a.丰富，富足
abusive a.粗俗的侮辱，对身体有害的
abut v.毗邻
abysmal a.无底的
abyss n.深渊，深坑，无底洞
academic a.学术的
accede v.同意
accelerate v.加速
accentuate v.强调，重音
accessible a.可得到的
accessory n.附件
acclaim v.赞扬，表扬
acclimate v.适应
acclivity n.上山的陡坡
accolade n.出名的大奖
accommodate v.招待，食宿，适应
accomplice n.共犯，同伙
accord n.一致
accost v.搭讪，邂逅
accoutre v.装备
accretion n.增长
accrue v.附带的
acerbity n.尖酸的（语气，脾气）
acetic a.酸的
acidulous a.酸的；尖锐，刻薄
acknowledge v.认可，承认
acme n.顶点
acoustics n.声学的
acquiesce v.默许
acquire v.获取
acquittal n.无罪开释
acrid a.尖锐；尖酸
acrimonious a.挖苦的，尖酸的（语言，行为）
acrophobia n.恐高症
actuarial a.保险精算的，精算
actuate v.推动，促使
acuity n.尖锐
acumen n.思想敏锐
acute a.精明，敏锐，聪明
adage n.格言，谚语
adamant a.坚硬，不动摇
adapt v.改变
addendum n.附加，补充
addiction n.瘾，依赖
addle v.使变疯，腐坏
address v.发表（演讲），处理，讨论
adept a.擅长于
adhere v.黏着
adherent n.支持者，追随者
adjacent a.邻近的，毗邻的
adjunct n.无用的附加物
admonish v.警告，训斥
admonition n.警告
adorn v.装饰
adroit a.熟练，有技巧
adulation n.奉承，恭维
adulterate v.掺杂
advent n.到来，出现
adventitious a.偶然
adversary n.对手
adverse a.讨厌，敌意
adversity n.贫困，不幸
advocacy n.支持，辩护
advocate v.辩护
aerie n.猛禽的窝
aesthetic a.审美的
affable a.平易近人的
affected a.假的，做作的
affidavit n.宣誓书
affiliation n.联合，加入
affinity n.亲缘关系
affirmation n.正面肯定，确认
affix v.增加，附于
affliction n.痛苦
affluence n.富足，财富
affront n.侮辱，冒犯；蓄意蔑视
aftermath n.后果，结果
agenda n.议程
agent n.方法，工具；代表
agglomeration n.聚集，累积
aggrandize v.增加，加强
aggregate v.收集，聚集
aggressor n.攻击者
aghast a.吓坏了的
agility n.敏捷
agitate v.激怒，打扰
agnostic n.无神论者
agrarian a.耕地的，耕种的
alacrity n.欢快的情绪
alchemy n.炼金术士
alcove n.小隔间，壁橱
alias n.别名
alienate v.孤立，树敌
alimentary a.营养的
alimony n.（离婚后的）生活费，抚养费
allay v.平静下来，（使）冷静下来
allege v.断言
allegiance n.忠诚
allegory n.寓言
alleviate v.解脱，释放，释然
alliteration n.头韵
allocate v.分配，制定
alloy n.合金
alloy v.混合，中和
allude v.暗指
allure v.诱惑，引诱
allusion n.暗指，暗示
aloft ad.向上
aloof a.分离，保留
altercation n.大声争吵，激烈争论
altruistic a.无私的，关心他人的
amalgamate v.结合，整合
amass v.收集
ambidextrous a.双手都灵巧
ambience n.环境
ambiguous a.模棱两可
ambivalence n.矛盾的观点或情绪
amble n.漫步，缓行
ambulatory a.可移动的，不固定
ameliorate v.提高
amenable a.有服从义务的，随时服从的
amend v.修订，修改，变更
amenities n.令人愉快的，礼貌的
amiable a.可爱的，友好的，惬意的
amicable a.温和的，友好礼貌的
amiss a.错误
amity n.友谊
amnesia n.失忆，健忘
amnesty n.原谅
amoral a.不道德的
amorous a.爱情的
amorphous a.无形的，不成形的
amphibian a.两栖的
amphitheater n.椭圆形的剧院，斗兽场
ample a.丰富的，富足的
amplify v.放大
amputate v.截肢，切除
amulet n.护身符
anachronistic a.时代错误
analgesic a.止痛的
analogous a.类似的
analogy n.类比，相似
anarchist n.无政府主义者
anarchy n.无政府主义
anathema n.诅咒
ancestry n.祖先
anchor v.固定；锚
ancillary a.辅助的
anecdote n.奇闻轶事
anemia n.贫血
anesthetic n.麻醉药
anguish n.极度痛苦
angular a.有尖角的，瘦骨嶙峋的
animated a.活跃的，有生气的
animosity n.仇恨
animus n.敌意
annals n.记录，历史
annex v.接手
annihilate v.毁灭，破坏
annotate v.评论，注释
annuity n.年金，养老金
annul v.避免
anoint v.神圣化
anomalous a.不正常的，变态的
anomaly n.不正常
anonymity n.匿名
anonymous a.匿名的
antagonism n.反抗，敌对
antecede v.先于
antecedents n.历史环境；历史背景
antediluvian a.远古，上古，及其久远
anthem n.圣歌，赞美诗
anthology n.选集
anthropocentric a.人类中心说
anthropoid a.类人的
anthropologist n.人类学家
anthropomorphic a.人形的
anticlimax n.反高潮，突降
antidote n.解药
antipathy n.反对，厌恶
antiquated a.过时的，陈旧的
antiseptic n.抗菌物
antithesis n.对立面
apathy n.漠不关心
ape v.模仿
aperture n.洞，穴，孔
apex n.高点，顶点，高潮
aphasia n.失声
aphorism n.格言，警句，谚语
apiary n.蜂房
aplomb n.沉着，垂直
apocalyptic a.启示的，启示录的
apocryphal a.假的，捏造的
apogee n.顶点
apolitical a.不问政治的
apologist n.辩护者
apostate n.变节者，脱党者，叛徒
apotheosis n.神化，典范
appall v.使惊慌，震惊
apparatus n.器械，设备
apparition n.鬼，幽灵
appease v.平静，安抚
appellation n.名字，标题
append v.追加，附上
application n.勤奋的付出
apposite a.合适的
appraise v.估价
appreciate v.感激；增值；赏识
apprehend v.逮捕；惧怕；领会
apprehension n.害怕
apprenticeship n.学徒身份
apprise v.告诉
approbation n.同意，批准
appropriate v.获得；挪用，据为己有
apropos prep.关于
aptitude n.能力，才能
