abate v.减轻，减退；废除
aberrant a.畸变的;异常的;脱离常轨的
ablate v.切除，摘除
abortion n.流产，早产；(计划等的)失败，夭折
abrade v.擦伤；磨损
abscess n.脓肿
abstain v.戒、避免；弃权
abstinence n.节制；禁欲
absurd a.荒唐的
accent n.腔调，口音；重音，重音符号v.加重读
accessory n.附件，附属品；同谋，帮凶a.附属的，附加的
accordance n.一致，给予
accountant n.会计
accuse v.谴责，指控，告发
achromatopsia n.色盲
acidosis n.酸中毒
acknowledge v.承认；致谢
acknowledgement n.承认，感谢；收到的通知
acne n.痤疮，粉刺
acoustic a.声学的；听觉的
acquaint v.使认识，使了解，通知
acupuncture n.针刺，针刺疗法
addict v.使沉溺，使醉心；使成瘾n.有瘾的人，吸毒成瘾
adduce v.引证；提出
adequate a.足够的；恰当的
admonish v.告诫
advisory a.咨询的，劝告的
advocate n.拥护者，提倡者v.拥护,提倡
aerobic a.需氧的
afebrile a.无热的
affection n.爱；感情；病
afferent a.传人的
affiliate v.使附属；隶属
affinity n.亲和力；密切关系
afflict v.使苦恼，折磨
aggressive a.爱寻衅的，侵略的；有进取心的
agile a.敏捷的，灵活的
agitate v.搅动；激动,焦急不安
agony n.苦恼，痛苦
ague n.疟疾；寒颤
alga n.水藻，海藻
alleviate v.减轻(痛苦)，缓和
alliance n.联盟，同盟，联合，联姻
allowance n.允许；津贴，补助(费)v.定量供应
alloy n.合金v.合铸
allude v.暗指，提到
allure v.引诱，吸引
almighty a.全能的；糟糕透的
alphabet n.字母表
aluminum n.铝
alveolus n.小窝，牙槽；肺泡
amateur a.业余的n.业余爱好者
ambassador n.大使
ambient a.周围的，包围着的；环境的
ambiguous n.模棱两可的
ambulance n.救护车
ambulant a.走动的；适宜于下床活动的
ameliorate v.改善，改良，转好
amenable a.顺从的，有义务的;经得起检验的
amend v.改正，修正；改好
amiable a.亲切的，和蔼可亲的
amid prep.在…中，在…当中
ammonia n.氨
ample a.充分的，富裕的；宽敞的
amputate v.切断，截(肢)
amuse v.逗…笑，给…以娱乐，给以消遣
amusement n.娱乐，消遣，娱乐活动
analogue n.类似物
analogy n.类似，相似；比拟;类推
analysis n.分析，解析
analyze v.分析，分解
anatomy n.解剖学
ancestor n.祖宗，祖先
ancestral a.祖先的，祖传的
ancestry n.祖先，家世
ancient a.古代的，古老的n，古时的人
anemia n.贫血症
anesthesia n.感觉缺失；麻醉
anesthetic a.麻木的n.麻醉剂
anguish n.极度的痛苦v.感到极度痛苦
anhydrous a.脱水的，无水的
animate v.使有生气，使活泼；激励
animation n.生气，活泼，兴奋；动画片
annoy v.使烦恼，使生气，打搅
annoyance n.烦恼，烦扰
anonymous a.匿名的
anorexia n.食欲缺失；厌食
anoxia n.缺氧(症)
antacid n.解酸药，抗酸剂
antenna n.触角；天线
antibiotics n.抗生素(抗菌素)
anticipate v.预料，预期；抢…之先；提前使用
antifebrile a.退热的n.退热药
antique a.古时的，古式的;n.古物,古玩
antiseptic a.防腐的，抗菌的n.防腐剂；抗菌剂
antitoxin n.抗毒素
antiviral a.抗病毒的
antivirus n.抗病毒素
anxiety n.挂念，焦虑；渴望
appalling a.令人震惊的，骇人听闻的
apparatus n.器械，仪器，装置
apparent a.明显的；表面的；貌似的
appendicitis n.阑尾炎
appendix n.附录；阑尾
appetite n.食欲，胃口,要求,欲望
applaud v.喝彩，鼓掌，称赞
applause n.欢呼，喝彩，称赞,赞成
appliance n.器具；用具；器械
appoint v.任命，委派；约定
appointment n.约会，约见；任命，选派
appraisal n.估价，评价
appraise v.估价，评价，鉴定
appraiser n.评价人，鉴定人
appreciable a.可以估计的，可以看到的
appreciate v.感激，感谢；评价，欣赏,赏识
appreciation n.欣赏，鉴赏正确评价;感谢，感激
appreciative a.有眼力..的，有欣赏力的;感激的
apprehend v.理解，领悟；逮捕，拘押；畏惧，忧虑
approach v.接近，走近n.途径,方法，探讨
appropriate a.适当的，恰如其分的
approval n.赞同,批准
approve v.赞成,同意,批准,审定,通过
approximate a.近似的,大约的,v.近似,接近
apron n.围裙v.用围裙围住
apt a.恰当的，贴切的；聪明灵巧的；易于…的，有…倾向的
arbitrary a.任意的，专横的，武断的
arch n.拱，拱门，弓形结构，半圆形v.使成弓形，拱起
archaeology n.考古学
architect n.建筑师
architectural a.关于建筑的，建筑上的
architecture n.建筑，建筑学
ardent a.热情的，热烈的；强烈的，烈性的
arduous a.艰巨的；勤奋的
arena n.竞技场地
argue v.辩论，争论；主张，论证
argumentation n.推论,论证;争论,辩论,辩论文
armament n.军队,武装力量;军械;武器,备战
aroma n.芳香;(艺术品的)风味;韵味
arrangement n.整理，排列，布置，安排，准备；商定，调解
array v.使排列成阵势；装扮n.列阵；衣服，盛装
arrest v.／n.逮捕，拘留；(心搏)停止
arrhythmia n.心律不齐；心律失常
arrogance n.骄傲自大，傲慢
arrogant a.骄傲自大的，傲慢的
artery n.动脉，干线
arthritis n.关节炎
articular a.关节的
articulate v.接合；清晰地发出音来；a.接合起来的；关节联接的
ascertain v.查明,弄清,确定
aseptic a.无菌的;防腐的;冷漠的
ashamed a.惭愧的,害臊的
asphyxia n.窒息
aspirate v.吸出；抽出
assassinate v.暗杀，行刺
assault v.／n.袭击，攻击
assemble v.集合，集会；装配，组装
assembly n.集会，会议；装配
assert v.断言，宣称
assertion n.主张，断言，维护
assess v.估价，评价
assessment n.估价，评价
asset n.财产；宝贵的人(或物)
assiduity n.刻苦，勤奋
assign v.分配，委派，指定
assignment n.分配，委派，任务，(课外)作业
assimilate v.吸收；同化
assistance n.帮助，援助
assistant n.助手，助教
associate v.联想，联系，联合，交往，n.合作人，伙伴，同事，adj.同伙的，副的
association n.协会，团体；联合，联系，交往，交际；联想
assort v.把…分类；为…配备各种物品
asthma n.气喘，哮喘
astonish v.使惊讶，使吃惊
astound v.使震惊，使大吃一惊
astronaut n.宇航员
astronomy n.天文学
asymmetric(al) a.不对称的；偏位的
artrium n.心房
atropine n.萎缩，虚脱
atropine n.阿托品
attach v.贴上，系上，附上;使依附，使属，使依恋
attachment n.连接物，附属品附件；依恋
attempt v.／n.试图，努力
attendant n.服务员a.在场的；护理的；伴随的
attenuate v.变细(小)；减弱减毒;稀释
attic n.顶楼，屋顶室
attomey n.辩护律师
attract v.吸引，招引，引诱
attraction n.吸引(力)，吸引人的事物
attractive a.有吸引力的，有魅力的，动人的
atypical a.非典型的;不规则的;不正常的
auction v./n.拍卖
audible a.听得见的
audience n.听众，观众；谒见，会见
audiometer n.听度计，听力计
auditorium n.礼堂；听众席
augment v.扩大；增长
aural a.听觉器官的;耳的
auscultate v.听诊
auspice n.预兆，先(前)兆;吉兆
Austria n.奥地利
authentic a.可靠的，权威性的,有根据的，真正的
authoritarian a.独裁主义的n.独裁主义者
authoritative a.有权威的，可相信的
authority n.权力，威信，权威，权威者，(p1.)当局，官方
authorize v.授权，委任；批准，认可
autoclave n.高压消毒锅
autonomy n.自治，自治权
autopsy n.尸体解剖；尸检
auxiliary a.辅助的,从属的n.辅助者,补助者,助动词
