aback ad.向后地,朝后地
abandon vt.放弃,沉溺n.放任
abasement n.贬抑,屈辱,谦卑
abash vt.使...羞愧,使困窘
abate vt.缓和,减弱,减少,废除vi.缓和,减弱
abbey n.修道院
abbreviate vt.缩写,使...简略,缩短
abdomen n.腹部
aberration n.越轨,光行差,心理失常,色差
abhor vt.憎恶,痛恨
abhorrence n.痛恨
abide vi.遵守,忍受,居留,坚持vt.忍受
abigail n.使女
ability n.能力,才干
abject a.不幸的,可怜的,悲惨的
ably ad.能干地,巧妙地
abnormal a.不正常
aboard ad.在船上,在火车上,在飞机上
abolish vt.废止,革除,取消
abolition n.废除,废除奴隶制度
abolitionist n.废除主义者,废奴主义者
aboriginal a.原始的,土著的n.土著居民
abort vi.流产,堕胎,失败vt.使流产,使失败
abound vi.丰富,富于,充满
aboveboard ad.光明正大地,率直地a.光明正大的
aboveground ad.在地上,未被埋葬地,活着
abrasive n.研磨剂a.研磨的
abreast ad.并肩地,相并地
abridge vt.删节,缩短,剥夺
abridgment n.删节,缩短,删节本,剥夺
abrupt a.突然的,唐突的,无礼的,不连贯的
abruptly ad.突然地,唐突地
abruptness n.突然,唐突
absence n.缺乏,没有,缺席
absent a.缺席的,不在的,缺乏的,漫不经心的vt.缺席
absolutely ad.完全地,绝对地,正是如此
absolutist n.专制主义者,专制政治论者,绝对论者
absolve vt.宣告...无罪,赦免,免除
absorb vt.吸收,并吞,全神贯注,同化
abstain vi.自制,戒绝,弃权,避免
abstract n.摘要,抽象a.抽象的,深奥的vt.摘要,使抽象化
abstraction n.抽象化,心不在焉,提炼,抽象派作品
abstruse a.难解的,深奥的
absurd a.荒谬的,不合理的,可笑的
absurdity n.荒谬,悖理,荒谬的事
abundance n.丰富,充足
abuse n.滥用,恶习,辱骂vt.滥用,辱骂,虐待
abuse n.滥用,恶习,辱骂vt.滥用,辱骂,虐待
abyss n.深渊,无底洞,地狱
abyssal a.深渊的,深海的
academia n.学术界,学术环境
academic a.学院的,理论的,不够实际的
academy n.学院,院校,学会
accelerate v.加速
accent n.重音,口音vt.重读,强调
accentuate vt.以重音念,强调,重读
acceptable a.可接受的,合意的,合适的
acceptance n.接受,容纳,承诺
accessible a.易接近的,可进入的,易受影响的,可理解的
accessory n.附件,同谋a.附属的,同谋的
accidental a.意外的,偶然的n.非本质属性
accidentally ad.偶然地,意外地
acclaim n.喝彩,欢呼,赞同v.欢呼,喝彩,称赞
acclimate vt.使适应新环境,使服水土vi.服水土
accolade n.武士爵位的授予,连谱号
accommodate vt.使适应,调节,和解,容纳vi.适应
accommodation n.适应,调解,膳宿,贷款
accompaniment n.自然的伴随物,陪伴物,伴奏
accompany vt.陪伴,带有,为...伴奏vi.伴奏
accomplice n.共犯,同谋
accomplish vt.完成
accomplishment n.成就,完成
accord n.一致,调和,协定vt.一致,给与vi.符合
accordance n.一致,和谐
according ad.根据
accordingly ad.因此,于是,如前所说,相应地
accost vt.招呼,搭讪,勾引
account n.帐目,报告,记录,算账vi.解释,认为vt.认为
accountability n.有责任,有义务
accountable a.有责任的,可说明的,可解释的
accountant n.会计员,会计师
accumulate v.积聚,堆积
accumulation n.积聚,累积,积聚物
accuracy n.精确,正确
accurate a.正确的,精确的
accurately ad.正确地,精确地
accusation n.控告,指控,非难
accusatory a.非难的,问罪的,控诉的
accuse vt.责备,控告,谴责
accustom vt.使习惯
achieve vt.完成
achievement n.成就,完成,功业
acid n.酸,酸类物质a.酸的,酸性的,讽刺的
acknowledge vt.承认,答谢,认知
acknowledgement n.承认,确认,感谢,收到的通知
acknowledgment n.承认,承认书,感谢
acne n.痤疮,粉刺
acorn n.橡实,橡子
acoustic a.听觉的,声学的,音响学的
acoustical a.听觉的,声学的
acoustically adv.听觉上;声音上;声学上
acquaint vt.使熟知,通知
acquaintance n.相识者,熟悉
acquiesce vi.默许,勉强同意
acquiescence n.默许,默认,无可奈何的同意
acquiescent a.默许的,默认的,默从的
acquire vt.获得,学到
acquisition n.获得,添加物品
acquisitive a.想获得的,贪得的
acrimonious a.严厉的,辛辣的,刻毒的
acrimony n.严厉,辛辣,刻毒
acronym n.缩写字,字头语
acropolis n.城堡,雅典的卫城
activate vt.刺激,使活动,创设
actively ad.活跃地,积极地
activism n.实践主义,能动主义
activist n.活跃分子
activity n.活动,动作,活力
actuality n.实在,现实,现状
actualize vt.实现,实行,实施
actually ad.事实上,如今,现在
acuity n.敏锐,激烈,苛刻
acumen n.敏锐,聪明
acute a.敏锐的,激烈的,尖锐的,严重的
acutely ad.尖锐地,剧烈地
adage n.古话,格言,谚语
adamant n.坚硬的东西a.非常坚硬的
adapt vt.使适应,改编vi.适应
adapt vt.使适应,改编vi.适应
adaptability n.适应性
adaptable a.能适应的,可修改的
adaptation n.改编,适应,改编成的作品
adaptive a.适合的,适应的,能适应的
addict vt.使沉溺,使上瘾n.上瘾者
addiction n.沉溺,上瘾
addition n.附加,增加,加法
additional a.附加的,另外的
additionally adv.添加地;附加地,附带地,此外
additive a.添加的n.添加物,加法
adept a.熟练的,老练的n.名手,专家
adeptness n.熟练;老练;纯熟
adequate a.适当的,足够的
adequately ad.足够地,充分地,适当地
adhere vi.依附,粘着,坚持,
adherence n.依附,固执
adherent a.附着的,固守的n.党徒
adhesive a.粘着的,有粘性的n.粘剂
adjudicate v.判决,宣判,裁定
adjust vt.调整,使适应于,校准vi.调整,适应于,校准
ad-lib v.临时穿插,信口说出,即兴讲演
administer vt.管理,治理,执行vi.管理,有助于
administrative a.管理的,行政的
administrator n.管理人,行政官
admiral n.舰队司令,海军上将,旗舰
admiration n.赞赏,钦佩,赞赏的对象
admire vt.赞美,钦佩,喜欢,爱慕
admirer n.钦佩者,仰慕者,求爱者
admittedly ad.公认地,显然
admonish vt.劝告,训诫,告诫
admonition n.警告,劝告,训诫
adolescence n.青春期
adolescent a.青春期的,青年的n.青少年
adopt vt.采用,收养,接受
adorable a.可崇拜的,值得敬慕的,可爱的
adore vt.崇拜,爱慕,喜爱
adorn vt.装饰,佩戴
adroit a.熟练的,敏捷的
adroitly ad.熟练地,敏捷地
adulation n.谄媚,奉承,阿谀
adulatory a.谄媚的,奉承的,阿谀的
adulthood n.成人期
advancement n.前进,进步
advantageous a.有利的,有益的,方便的
advent n.来到,来临,耶稣降临时
adventurer n.冒险家,投机者
adventurous a.喜欢冒险的,大胆的,惊险的
adversary n.敌手,对手
adverse a.不利的,敌对的,相反的,逆的
adversely adv.1相反地,反对地2不利地,不幸地
adversity n.不幸,灾祸
advert vi.注意,留意,言及n.广告
advertise vt.做广告,通知vi.做广告
advertiser n.广告者,广告客户
advisable a.适当的,明智的
adviser n.顾问,指导教授,劝告者
advisor n.顾问,指导教授,劝告者
advocacy n.拥护,支持,鼓吹
advocate n.提倡者,拥护者vt.主张,提倡
aeon n.永世,无数的年代
aerate vt.使暴露于空气中,使充满气体
aerial a.空中的,航空的,空想的,空气的
aerodynamic adj.空气动力
aerodynamically adv.空气动力学地
aeronautic a.航空的
aerosol n.烟雾
aesthete n.审美家,唯美主义者
aesthetic a.美学的,审美的,有美感
aesthetically adv.审美地,美学观点上地
aesthetician n.亦作esthetician美学家;美学批评家
affability n.和蔼,殷勤,亲切
affable a.和蔼可亲的,友善的,殷勤的
affect vt.影响,假装,倾向于,感动n.感情
affectation n.假装,虚饰,做作
affection n.爱,情感,影响,病
affectionate a.情深的,充满情爱的
affiliation n.加入,联盟,友好关系
affinity n.密切关系,强烈的吸引力
affirm v.断言,确认,肯定
affirmative a.肯定的,正面的n.肯定语
afflict vt.使痛苦,折磨
affliction n.痛苦,苦恼,苦难
affluence n.富裕,富足,流入
affluent a.丰富的,富裕的n.支流
affordable adj.提供得起的
affront n.侮辱vt.侮辱,冒犯,面对
afoot a.徒步的,在进行中的ad.在准备中
afterglow n.晚霞,夕照
aftermath n.结果,后果
afterward ad.然后,后来
agency n.代理,媒介,经销商
agenda n.pl.议程,应办事项
agent n.代理商
aggrandize vt.增加,夸大
aggravate vt.使恶化,使更严重加重
aggravation n.更恶化,加厉,恼怒
aggregation n.集合,聚合,集合体
aggression n.进攻,侵略
aggressive a.侵略的,攻击性的
aghast a.惊骇的,吓呆的
agile a.敏捷的,灵活的,轻快的
agility n.敏捷,灵活,轻快
agitate vt.使摇动,骚动vi.鼓动
agitation n.激动,兴奋,煽动
agnostic n.不可知论者
agonize vt.使苦恼,折磨vi.感到痛苦
agrarian a.有关土地的,耕地的
agreeable a.愉快的,和蔼可亲的,同意的
ague n.疟疾,打冷颤,发冷
ailment n.小病,疾病
aimless a.无目的的,没有目标的
airborne a.空运的,空中传播的,空降的
airliner n.定期班机,客机
airy a.空气的,幻想的,轻快的
aisle n.走廊,侧廊
alacrity n.敏捷,轻快,乐意
albeit conj.纵令…,虽然…,虽则,即使
alcoholic n.酒鬼,酒精中毒的人a.酒精性的
alcove n.凹室,壁橱,小亭
alert a.警觉的,灵敏的,留心的n.警报vt.使警觉
alga n.藻类,海藻
algae n.藻类,海藻
algebra n.代数学
alien n.外侨a.外国的,相异的
alienate vt.使疏远,离间,让与
alienation n.疏远,离间,割让
alight vi.落下,偶然发现a.点着的
align vi.排列,排成一行,结盟vt.使结盟
alike a.相似的,同样的ad.一样,以同样的方式
allege vt.宣称,申述,主张,断言
allegiance n.忠贞,效忠
allegory n.寓言
allergy n.敏感症,反感,厌恶
alleviate vt.减轻,使缓和
alley n.小路,巷
alliance n.联盟,联合
allocate vt.分派,分配
allotment n.分配,配给的土地,命运
allowance n.津贴,零用钱允许vt.定量供应
