activate v.使活动
aggravate v.加重
ailment n.小病
alert adj.警惕的，敏捷的
ally v/n.结合，联盟
amiable adj.和蔼的，亲切友好的
anachronistic adj.时代错误的
animosity n.憎恨，仇恨，敌意
annull v.废除
anomalies adj.不规则的
antagonistic adj.敌对的，对抗性的
apolitical adj.与政治无关的
apparent adj.显然的，清晰可见的；表面上的，貌似（真实）的
arable adj/n.耕地，适于耕地的
arcane adj.秘密的，不可思议的，难懂的
arduous adj.艰苦的，努力的
articulation n.清晰度，咬合，关节
aspiring adj.渴望的
atrocity n.邪恶，暴行
attain v.获得，打到，造诣，成就
audible adj.听得见的
autocrat n/adj/adv.独裁者，独裁的
automatic n.自动
avert v.防止，避免；转移；转过目光
baffle n/v.使困难，使为难；挡板
barter v/n.易货，物物交换
bias n/v.偏见，偏心，偏爱，偏向
bland adj.平和清淡的，沉稳的，枯燥的
bolster v.支持
boorish adj.粗野的，粗鲁的，笨拙的
bountiful adj.慷慨的，丰富的，充裕的
brevity n.简洁，短暂
byzantine adj.错综复杂的，暗中的
callous adj/n/v.硬结，无情，麻木不仁
capable adj.有能力的
captivate v/n.吸引，迷住，有吸引力的人
catalogue n/v.编目，目录
chauffeur n.受雇于人的司机
chronic adj.长期患病的，慢性的；拙劣的
clamlike adj.一言不发的
clandestine adj/adv/n.秘密的，暗中的
cloak v.遮掩，掩盖
commendable adj.值得称赞的
commission n.授权，委托；委员会；佣金，回扣；任命；罪行，过失
commitment n.保证，承诺；承担的义务；信奉，献身，奉献；定期付款；花费，使用；任务；罪行；委托，委任；提出审议；拘留，监禁，收容；（受）约束，（承担）义务；介入，牵连
comparable adj.类似的，相当的，比得上的
compassionate adj.有同情心的
compatriot n.同胞
compendious adj/adv.扼要，简洁
complimentary adj/adv.赞美的，恭维的
compose v.组成；使平静；创作；整理；调解，解决
compulsive adj.极有趣的；令人着迷的；强迫性的；上瘾的
conclusive adj.决定性的
conform v.一致
conformist adj.墨守成规的，因循守旧的
connoisseur n.鉴赏家
conscientious adj.认真勤奋的；有责任心的
consecrate v.奉献，把……视为神圣
conservative adj/n.保守的，保守党
console v.安慰，慰问
consistency n.一致性，连贯性
conspicuous adj.显眼的，易见的
constant adj.始终如一的，连续发生的，忠实的，坚定的，经常的n.常数，不变的事物
constituent adj/v.选民，成分，构成，要素
constructive adj.建设性的，积极的
consummate v.使结束，使完美adj.完美的
contagious adj.有传染性的，有感染力的
contamination n.玷污，弄脏，毒害
contempt v.蔑视，轻视
conterproductive adj.其反作用的
contrive v.策划，设计，发明；设法做到
controversial adj.有争议的
conventional adj.传统的，普通的，习惯的会议的
convivial adj.好交际的，随和的，欢乐的
corollary n.必然的结果，推论
corpulence n.肥胖
counsel n/v.忠告，劝告，专业咨询，商议
counteract v.对抗，抵消
courteous adj.彬彬有礼的，谦恭的
crucial adj.至关重要的；严酷的；了不起的
curriculum n.总课程
cursory adj.仓促的
curtail v.限制，缩短，减缩
dalliance n.嬉戏，戏弄；调情，调戏
dearth n.缺乏，稀少，饥荒
debacle n.溃逃，灾难，失败，垮台
debunk v.揭穿真相，暴露
deceive v.欺骗，蒙骗
decree n/v.命令，法令；裁决
defiance n.违抗，挑衅，蔑视
definitive adj.最后的，决定性的，不可更改的，最佳的，最完整可靠的
deflect v.使偏转、偏离、转向
deleterious adj.有害的
deliberate adj.故意的，蓄意的；慎重的，深思熟虑的；从容不迫的v.仔细考虑；研讨，商讨
demeaning adj.贬低身份的
demonstrate v.示范，展示；解释，说明，演示；论证；显示，表露
demonstrative adj.情感外露的
denial n.否认，拒绝，拒绝接受，拒不承认
denote v.为……的名称，标志，预示，象征；指出，表示，预指
dense adj.密集的，愚笨的，难懂的
depict v.描述，刻画
depreciatory adj.贬值的，蔑视的
descend v.下降，降临，起源，袭击
deserve v.应得，值得，应受（赏罚、赔偿）
detain v.留住，耽搁，扣留
detest v.憎恶，嫌恶，讨厌，痛恨
devastate v.毁坏，使荒芜；压垮；使震惊/极为忧伤/极为悲痛
devious adj.迂回曲折的，不坦诚的，狡猾的
devoid adj.缺乏，没有
didactic adj.教学的，教导的；迂腐的
dictatorship n.独裁家
digression n.离题，脱轨
diplomatic adj.外交的，策略的，圆滑的
dire adj.可怕的，恐怖的
discernment n.洞察力，敏锐，精明
discharge v/n.偿还，执行，发泄，免除，释放，卸货，开枪，放出，流出
discipline v.训练；惩罚；自我控制；使有纪律；使有条理n.训练；惩罚；纪律；行为准则；磨练；自制力
discriminate v.分别，区分，歧视
disgruntle v.使……不满
dispell v.驱散，消除
dispense n.发配，分发，施予，提供，试行
dispute v/n.争辩，争吵；争夺，竞争，抵抗，怀疑，罢工
disrupt v.扰乱，打乱，使中断，使混乱
dissent n./v.不同意见
distinctive adj.与众不同的，有特色的
distort v.扭曲
distribution n.分配，运销，布置，整理
docile adj.驯服的，易控制的
doctrinaire adj.教条（主义）的
doggedness n.坚决的
drill n.钻
dubious adj.半信半疑的，不可靠的，可疑的，不诚实的
effable adj.可说明的，可解释的
effacement n.抹消，抹杀
egotistic=egotistical adj.自我本位的，任性的，自负的
elaborate v.详细说明，精心制作adj.复杂的，精巧的，费力的
elevate v.举起，提升，鼓舞
eliminate v.消除，排除，淘汰，拒绝
embodiment n.体现，化身
embroil v.使卷入纠纷
enrage 使暴怒
entangle v.缠绕，陷入
envision n.想象，展望
epidemic n.流行病；（迅速）蔓延、泛滥
epitome n.缩影；典型；摘要
equitable adj/adv/n.公正，合理
erratic adj.不规则的，不稳定的，不可靠的
esoteric adj/adv.神秘的，难懂的
esteem v.敬重
excessive adj.过度的，过分的，极度的
expatriate adj.侨民；居住在国外的人
extensive adj.广阔的，大量的，包罗万象的
extract adj.拔出，抽出，提取，索取，摘录
extrapolate v.推算，推断
extravagant adj.奢侈挥霍的，浪费的，过度无节制的，放肆的，不切实际的
evitable(=avaidable) adj.可避免的
eulogy n.颂词，赞美词
evoke v.唤起，引起
fabricate v.捏造，虚构；建造；制造，装配
facile adj.轻率作出的；轻易可得的
feasible adj.可行的
felicity n.幸福；妥帖，得体；言辞巧妙
fiasco n.彻底失败，惨败
fidelity n.忠诚，忠实；逼真
flawed adj.有缺点的，有缺陷的；错误的
forfeit adj/v.丧失，被没收n．罚金，没收物
former adj.以前的
formidable adj.可怕的，令人敬畏的，难以克服的
foster v.培养，促进，鼓励，养育，心怀
fortified adj.加强的
fundamentlism n.原教旨主义
futile adj.无效的，无用的，无意义的
futility n.无效，无用，无益的事
gait n.步态，步法
generate v.产生，导致
generosity n.慷慨，大方，宽容
gullible adj.易受骗的
habitual adj.习惯的，惯常的
hail v.大声喊
hallow v.把……视为神圣
halting adj.蹒跚的，踌躇的，软弱无力的
harangue n/v.高谈阔论
harsh adj.刺耳、眼的，严厉的，严酷的
heed v/n.听从，留心，注意
hesitant adj.犹豫的
hitherto adv.迄今为止
holistic adj.全部的，功能整体性的
humility n.谦逊，谦恭
ideology n.思想体系；意识形态
idiosyncratic adj.特殊的，特异的
idyllic adj.田园诗般的，平和欢畅的
ignorant adj.无知的，愚昧的
illustrate v.说明，解释；加插图
impartial adj.公平的
imperious adj.专横的，飞扬跋扈的
implement v.实现，履行，执行；补充
imprevious adj.不受影响的
improptu adj/adv.事先无准备的，临时的
impulsive adj.冲动的
inception n.开端，初期
incline v.（使）倾向，（使）认为n.斜坡，斜面
inconspicuous adj.不明显的，不显著的
incontrovertible adj.无可辩驳的，不容置疑的
indiscriminate adj.不加区别的，随意的
indulgent adj/adv.放纵的，纵容的
ineffable adj.妙不可言的，不可言喻的
infallibility n.不可能犯错误的
inferiority n.自卑感
ingenuous adj.天真无邪的，朴实坦率的
inquisitive adj.好奇的，好问的，爱打听别人隐私的
inscrutable adj.难以理解的，高深莫测的
insightful adj.有洞察力的
insolence n.傲慢，无礼，厚颜
instantaneous adj.瞬间的，立即的，即刻的
instinctive adj.本能的，天生的，直觉的
insular adj.岛上的；不愿与人接触的
insulation n.隔离，隔绝；绝缘；隔热
insurrectionist n.起义者，造反者
integrate adj/n/v.整体，整合，融入，完善
integrity n.正直，诚恳，完全，完善，廉政
intemperate adj.过度的，放纵的
intensify v.（使）增强，（使）加剧
interactive adj.相互影响的
intermittent adj.间歇的，断断续续的
interpretation n.解释；演绎；理解
interrogation n.审讯，质问，问题
intonation n.语调，抑扬顿挫；音准
intransigence n.不妥协，不让步
intrude v.侵入，侵扰，打扰，把…强加于
intuition n.直觉
invade v.侵入，侵略
invest v.投资，花费，授予
invidious adj.会招致不满的；激起怨恨的
irritate v.使发怒、急躁、疼痛、感到不适
irreverence adj.不尊敬的
jeopardize v.冒…的危险，危及，损害
judicious adj.明智的，明断的，谨慎的
kudo n.奖赏
lackadaisical adj/adv.无精打采的，不热心的
launch v./n.发射，下水，发动；开展，开始从事，发起，发动；首创，开始出版，首映；上市，发行；
lavish adj.大量的，慷慨的，过量的v.过分给予，滥施
leery adj.留神的，猜疑的，机敏的，狡猾的
legitimate adj.正当的
liberality n.慷慨大方；宽容，开朗
limp n/v.跛行adj.无力的，无精神的，易弯的
limousine n.大型高级轿车
litigious adj.好争论的，好打官司的
loan v/n.借出，借款
lucid adj.表达清楚的，神智清醒的
magnanimity n.宽宏大量
magnanimous adj.宽宏大量的
mandatory adj.命令的，强制的，义务的
manipulative adj.控制的，操纵的
meddle v.干涉，干预
melodrama n.情景剧
membranous adj.膜的，膜状的
mercenary adj.雇佣的，唯利是图的
merit n.功勋，价值，长处；奖赏；真相v.值得，应获得；应受赏
