vociferous 大声嚷叫的;大事声张的;喧嚷的,吵闹的,叫嚣的
garrulous 饶舌的,絮聒的,喋喋不休的;爱说闲话的
effusive 热情洋溢的
taciturn 缄默的,沉默寡言的
stingy 小气的,吝啬的,缺乏的,有刺的
frugal 节省的;俭朴的;量少的,花钱少的
miserly 吝啬的,小气的
munificent 慷慨给予的,毫不吝惜的;宽厚的
ignorant 未受教育的;无学识的
inquisitive 好盘根问底的;好奇的
risqué <法>(作品等)淫秽的,败坏风俗的
crude 天然的
harsh 残酷的;无情的严厉的;苛刻的
deliberate 考虑;熟思;研究,讨论
premature 不成熟的
accessible 能接近的,容易会见的;可亲的；易受影响的,可以理解的
prolonged 延续的,长时间的
extraneous 局外的,无关的,不重要的;外来[部]的,新异的
comprehensive 广泛的，全面的，综合的；综合教育的;有理解力的；容易了解的
sporadic 不定时发生的；时有时无的；偶发性的
problematic 有疑问的；成问题的；未决的
eloquent 雄[善]辩的,有说服力的
superfluous 过多的,多余的
controversial 争论的；引起争论的；被议论的；好议论的；可疑的
controvertible 可争辩的
incontrovertible 无可辩驳的,颠扑不破的,不容置疑的,明确的
impervious 不受影响或干扰的,感觉不到...的；不可渗透的
sustained 持续的;不变的;不间断的;被支持的
infallible 没有错误的；确实可靠的;绝对无疑的；不可避免的,必然(发生)的
compromised 妥协的
consistent 一贯的，始终如一的
aggravated 加重的,恶化的
vacillating 优柔寡断的,犹豫不决的
insightful 有见识的,有眼光的;富于洞察力的
exploratory 调查的,研究的;发掘的
conclusive 决定的，结论性的，决定性的；最后的；确凿的
demeaning 不尊重的，侮辱的
soothing 安慰性的;缓和的,减轻(痛苦)的;起镇定作用的
therapeutic 治疗(学)的,疗法(上)的
alleviative 减轻的;缓和的
feasible 可实行的;切实可行的;行得通的
captivating 迷人的,有魅力的
aspiring 有大志[抱负]的;追求...的
impartial 公平的;平等相待的;无私的,无偏见的
impulsive 有推动力的;冲动的;刺激的;任性的(不考虑行为的适合性和后果)
compulsive 强迫（性）的，不由自主的，情不自禁的
persistent 坚持的,百折不挠的;固执的
resolute 坚决的;断然的;果敢的
humble 恭顺的,谦逊的
compassionate 富于同情心的，慈悲的
wary 小心翼翼的;留神的;慎重的;不疏忽的
unsightly 不秀丽的,不雅观的,难看的
suppressed 被抑制的,被忍住的
self-promoted 自我鼓励的
pretentious 自命不凡的;自夸[负]的;虚伪的,做作的,矫饰的;用力的,使劲的，需要技巧(或才能)的
stymied 被侵袭的
gruntled 高兴的
disgruntled 心境不佳的；不高兴的；不满的
suspended 被暂停的
obscure (昏)暗的;黑暗的;朦胧的;不引人注目的;偏僻的;隐匿的
legitimate 合法的,合理的
illegitimate 违法的，不合法的
distorted 扭歪的,受到曲解的
spurious 假的,伪造的;(论证等)不合逻辑的,谬误的
unresolved 未决定的;无决心的;未解决的;未议决的;未澄清的,意见不统一的
esteemed 尊重的
reiterated 反复的,重复的
mythical 虚构的，杜撰的
fabricated 莫须有的，编造的
pristine 原始的,早期的;原来的;纯朴[净]的;未受腐蚀的
unmarred 未沾污的;未损伤的
redeemed 被拯救的，被收回的
hallowed 神圣化的,神圣的
devastated 被毁坏的，憔悴的
bland (态度等)温和的,柔和的
eclectic 折衷(主义)的
invidious 引起恶感的,令人厌恶的;招怨恨的,招猜[妒]忌的;不公平的
