abacus n.算盘
abandon vt.丢弃,放弃,抛弃
abase vt.使卑下
abash vt.使窘迫
abate vt.减退
abbreviate vt.缩写
abdicate v.让位，辞职，放弃
aberrant a.脱离常轨的
abet vt.唆使
abeyance n.中止,暂搁,停止
abhor vt.憎恶
abiding a.持久不变的，永久的
abject a.凄惨的怯懦的
abjure v.发誓放弃
abnegate v.放弃，
abolitionism n.废奴主义者
aboveboard a.光明正大的,率直的
abrasion n.磨损,擦伤处
abridge vt.(书等)删节
abrogate v.废止，废除
abscond v.潜逃，逃亡
absolve vt.赦免
abstain v.自制,戒绝,弃权,避免
abstemious a.有节制的，节俭的
abstinent a.饮食有度的,有节制的,禁欲的
abstract a.抽象的n.摘要，梗概vt.提取；摘录要点
abstruse a.深奥的
abuse vt.滥用,虐待n.滥用
abysmal a.深不可测的,无底的,可怕的,极度糟糕的
accede vt.同意
accelerate v.使加速，使增速，促进vi.加快，增加
accessible a.易接近的,可进入的,易受影响的,可理解的
accessory n.同谋者;附件
accidental 偶然的
acclimate 使习惯于新环境
accolade n.推崇备至，赞扬
accomplice n.帮凶
accost vt.搭话
accrete v.共生，附着，增加
accumulate v.积累,积聚
accuse vt.指责,归咎于
acerbity n.涩,酸,刻薄
acme n.顶点，极点
acquiesce vi.默许
acquisition n.获得,添加的物品
acquit vt.宣告无罪；表现
acrid a.辛辣的
acrimonious a.尖刻的
adamant a.坚定不移的
adapt vt.使适应，使适合；改编；改写vi.适应
addicted a.痴迷
adherent n.信徒，拥护者
adjacent a.邻接的,邻近的
adjourn vt.休会
adjunct n.附属物,附件,修饰语
ad-lib v.即兴演唱，临时穿插，信口说出?
admission n.允许进入；承认；入场费，入会费，入场券
admonish vt.告诫
adore vt.崇拜;非常喜爱
adroit a.灵巧的
adulate vt.过分称赞
adulterate vt.掺杂
adumbrate vt.画轮廓,预示
adversary n.敌手,对手
advert v.注意,留意,言及
advertise vt.通知vi.登广告
advocate n.拥护者vt.提倡,拥护
aerate v.充气，让空气进入
aerial a.空气的,空中的n.(无线电)天线
aesthetics n.美学
affable a.和蔼的
affected a.假装的,做作的,不自然的,倾向于,感动的,被打动的
affection n.afeelingoffondness,love喜爱，爱
affidavit n.宣誓书
affiliation n.入会，加入
affinity n.密切关系；类同
affliction n.痛苦,苦恼,苦难
affluent a.富裕的
agenda n.议程,应办事项
aggrandize vt.增大
aggravate vt.使恶化;使加剧;使气恼
aggregate a.总计的，集合的n.总数v.合计；集合
aggressive a.好斗的,勇于进取的
aggrieve v.使委屈,使苦恼,侵害
agonized a.苦闷的，痛苦的
airtight a.密闭的,不透气的,无懈可击的
alacrity n.敏捷,轻快,乐意
albino n.白公,白化病者,白化变种(oralbinism)
alchemy n.炼金术,魔力
alibi n.托辞，借口，辩解
align vt.&vi.排行；使结盟
allay 缓和
allegiance n.忠诚
allegory n.寓意；寓言
alleviate vt.减轻(痛苦等)
allowance n.津贴
allude vi.暗指
aloft ad.在高处,在上
aloof a.冷漠的
alphabetical a.按字母表顺序的
altitude n.(海拔)高度
altruism n.利他主义，不自私
amalgamate vt.混合
amass vt.积聚
ambiguous a.模棱两可的
ambivalent a.矛盾心情的；含糊不定的
amble vi.慢行
ambrosial a.特别美味的,芬芳的
ameliorate vi.改善
amenity n.舒服
amiable a.和善的
amicable a.和睦的
amiss a.出差错的，偏斜的
amorphous a.虚无的
amphibian n.两栖动物;水陆两用飞机和车辆
amplify vt.放大(声音);增强;详述
amplitude n.广大；充足；振幅
amulet n.护身符
anaerobe n.厌氧微生物
anaerobic a.厌氧的
analgesic n.镇痛剂a.止痛的
analogy n.类似，相似，类比，类推
analysis n.分析,分解,解析
anarchist n.无政府主义者
anathema n.诅咒
ancestor n.祖宗；祖先
anecdote n.轶事,趣闻
anemic a.贫血的,患贫血症的
anesthetic a.麻醉的,麻醉剂的.
anhydrous a.无水的
animation n.活泼,生气,卡通制作
animus n.敌意,意图
annals n.纪年表,年鉴,年报
annoy vt.使恼怒，使生气；打扰vi.招人讨厌
annul vt.使无效
anodyne n.止痛药,给人安慰的事物adj.止痛的,镇痛的
anomalous a.不规则的,反常的
anonymous a.匿名的,无名的
antagonize v.使成敌人,敌对,反对
antediluvian a.([圣经]中说的)大洪水前的,上古的,古风的
anterior a.前面的,在前的
anthology n.诗集,文选
antic a.古怪的，笨拙的
anticipatory a.预想,预期的,占先的,先发制人的
antidote n.解毒药
antipathy n.憎恶,反感
antiquate a.旧式的,过时的
antiseptic n.杀菌剂,防腐剂
anvil n.铁砧
apathy n.冷淡
apex n.顶点
aphorism n.格言
apiary n.养蜂场,蜂房
apocalyptic a.预示灾祸的，启示的
apocrypha n.伪经，伪书,真实性可疑的著作
apologist n.辩护士(尤指卫护基督教教义的辩护者)
apoplectic a.中风的，易怒的
apostasy n.背教，脱党
apostrophe n书写中撇号(’)(表示省略或所有格)
apothecary n.药剂师,药师
appall vt.使惊骇
apparel n.服饰
appeal vi.n.呼吁,申述
appealing a.引起兴趣的,动人的,上诉的,哀求的,恳求的
appease vt.使平息
appellation n.名称,称呼，命名的行为
appetite n.食欲，胃口；欲望，性欲；爱好，趣味
applause 鼓掌
applicant n.申请人,请求者
appoint vt.任命,约定
apposite a.适当的，恰切的
appreciable a.可(察觉到)的,明显的;v.值得重视的
apprehension n.忧虑;理解;被捕
apprentice n./vt.学徒;使当学徒
approbation n.认可,嘉许,批准
appropriate a.恰当的
approval n.赞成,批准
approximate a.近似的,约略的v.接近,近似
apropos ad.适当地,恰好的,顺便的
apt a.聪明的;合适的;易于的
aquatic a.水产的;(运动)水上的
aqueduct n.高架渠，渡槽,导管,水管
aquifer n.含水土层(含水量足以成为井水或泉水)
arachnid n.属于蜘蛛类的节肢动物
arboreal a.树木的
archaic a.(语言、词汇等)古代的,已不通用的
archetype n.原型
archipelago n.群岛,多岛海
architect n.建筑师；设计师；缔造者；创造者
archive n.档案文件
arctic a./n.北极的,北极
ardor n.热心,热情
arduous a.艰巨的,艰苦的
argot n.隐语,暗语,暗号,行话
arid a.贫瘠的，干旱的
armory n.纹章,纹章学,军械库,兵工厂
arrest vt.逮捕,拘留
arresting a.引人注意的;醒目的;有趣的
arrhythmic a.无节奏的
arrogance n.傲慢，自大
arsenal n.兵工厂,军械库,任何事物的集成
articulate a./v.发音清晰的;说话表达力强
artifice n.巧办法，诡计
artless a.朴质;率直;拙劣,单纯的,天真的,不做作的
ascendant n.运星,运道,支配力,优势
ascent n.上升,上坡
ascetic a.禁欲的n.苦行者
