Africa n.非洲
African n.非洲人adj.非洲的
Allah n.阿拉,真主(伊斯兰教信奉的唯一的名称)
America n.<美>美国,美洲(包括北美和南美洲)
American a.美洲的n.美国人
Antarctic adj.南极的
April n.四月
Arabia n.阿拉伯半岛
Arabian adj.阿拉伯的,阿拉伯人的
Arabic adj.阿拉伯的
Asia n.亚洲
Asian adj.亚洲的,亚洲人的n.亚洲人
Atlantic n.大西洋adj.大西洋的
August n.八月
Australian a.澳大利亚的
Bible n.基督教《圣经》
Brazilian n.巴西人adj.巴西的
British a.大不列颠的,英联邦的
Briton n.大不列颠人,英国人
Buddha n.佛
Buddhism n.佛教
Buddhist n.佛教徒adj.佛教的
CDROM n.光盘只读存储器
Canadian a.加拿大的
Cantonese n.广东人,广东话
Catholic a.天主教的n.天主教徒
Catholicism n.天主教(教义)
Celsius adj.摄氏的
China n.瓷器;n.中国
Chinese a.中国的n.中国人
Christ n.[基督教]救世主(特指耶稣基督)
Christian n.基督徒,信徒adj.基督教的,信基督教的
Christianity n.基督教
Christmas n.（纪念耶稣基督生的节日,12月25日）圣诞节
Coca-Cola n.可口可乐
Confucian adj.孔子的;儒家的
Confucianism n.孔子思想,儒家思想
DNA n.脱氧核糖核酸
Dacron 达可纶
Danish n.丹麦语adj.丹麦的
December n.十二月(略作Dec)
Derby n.英国中部的都市,英国的大赛马会(1780年德贝伯爵所创立,每年六月的第一个星期三在London附近Epsom举行,参赛马龄平均为三岁,这天称为DerbyDay),赛马会
Dutch n.荷兰人,荷兰语adj.荷兰的,<俚>德国的,条顿民族的
E-mail n.电子邮件
Easter n.复活节
English n.英语a.英国人的
Englishman n.英吉利人,英国人
Englishwoman n.英国女人,英格兰妇女
Eskimo n.爱斯基摩人adj.爱斯基摩人的
Esperanto n.世界语
Europe n.欧洲
European a.欧洲的n.欧洲人
Evade vt.逃避,躲避
FALSE 
Fahrenheit adj.华氏温度计的n.华氏温度计,华氏温度计
Fascism 法西斯主义
Fascist 法西斯主义的法西斯主义者的法西斯党的法西斯主义者
February n.二月
French a.法国的n.法国人
Frenchman n.法国人
Friday n.星期五
German n.德国人,德语adj.德国的,德国人的,德语的
Gothic n.哥特式adj.哥特式的,野蛮的
Greek adj.希腊的,希腊人的,希腊语的n.希腊人,希腊语
Halloween n.万圣节前夕,诸圣日前夕
Hebrew n.希伯来人
Hindi adj.北印度的n.北印度语
Hindu n.印度人,印度教教徒adj.印度人的,印度教的
Hinduism n.印度教
Hispanic adj.西班牙的
Hoover n.胡佛电动吸尘器vi.胡佛电动吸尘
I pron.主格我
Indian adj.印度的,印度人的,印第安人的n.印度人,印第安人,印第安语
Internet n.因特网
Irish n.爱尔兰人,爱尔兰语,爱尔兰adj.爱尔兰的,爱尔兰人的
Islam n.伊斯兰教(在中国旧称回教,清真教)
Israel n.[地名]以色列
Israeli adj.以色列共和国的n.以色列共和国民
Italian n.意大利人,意大利语adj.意大利的,意大利语的,意大利文化的
January n.一月
Japanese adj.日本的,日本人的,日语的n.日本人,日语,日文
Jesus n.耶稣(基督教信奉的救世主)
Jew n.犹太人,犹太教徒
July n.七月
June n.六月(略作Jun)
Jupiter n.木星
Koran n.(伊斯兰教)可兰经
Korean n.韩国人,朝鲜人,韩国语,朝鲜语adj.韩国人的,朝鲜人的,韩国语的,朝鲜语的
Latin a.拉丁的；拉丁人的n.拉丁语；拉丁人
Lesbian adj.（女性）同性恋的n.同性恋的女性
London n.伦敦
Mafia n.黑手党,秘密政党
Maori n.(新西兰的)毛利人,毛利语adj.毛利人的,毛利语的
March n.三月
Mars n.火星
Marxism n.马克思主义
Marxist a.马克思主义的
May 梅(姓氏,女子名,Mary的昵称)五月
Mecca (=Makkah,Mekka)麦加(沙特阿拉伯西部,穆罕默德诞生地,伊斯兰教第一圣地)
Mediterranean n.\a.地中海的
Messiah n.弥赛亚(犹太人盼望的复国救主)
Mexican adj.墨西哥的n.墨西哥人
Midwest n.[the~]美=MiddleWest
Monday n.星期一
Mongolian n.属于蒙古人种的人,蒙古语,[医]先头愚型患者adj.蒙古人的,蒙古语的,[医]先头愚型症的
Moslem n.穆斯林
Mr. n.先生
Mrs. n....夫人
Ms. n.对婚姻状况不明的女子的称呼女士
Muslim n.穆斯林,穆罕默德信徒
Nazi n.纳粹党人adj.纳粹党的
Nazism n.纳粹主义,德国国家社会主义
Negro n.黑人
November n.十一月
Oceania n.大洋洲
October n.十月(略作Oct)
Olympic adj.奥林匹亚的,奥林匹斯山的
Olympics n.奥林匹克运动会
Pacific a.和平的n.太平洋
Pakistani a.巴基斯坦的n.巴基斯坦人
Persian n.波斯人[语adj.波斯的,波斯人[语
Polish adj.波兰(Poland)的
Protestant n.新教,新教徒adj.新教的,新教徒的
Puritan n.清教徒adj.清教徒的
Quaker n.教友派信徒,贵格会会员
Roman adj.罗马的,罗马人的n.罗马人
Rome n.罗马
Russian a.俄罗斯的n.俄国人
Sabbath n.安息日
Santa [美]=SantaClaus
Satan n.撒旦,魔鬼
Satisfied a.感到满意的
Saturday n.星期六
Saturn n.[天]土星,土星火箭,[商]杀草丹
